epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.455,1.93983,2.26703,1.03225,0.17862,0.19421,0.13607,0.07326,1.72471,1.62932,0.97462,0.000237706,0.000237706,0.000237706
2,586.727,1.82574,1.58223,0.98209,0.22778,0.20959,0.16839,0.0927,1.70351,1.43427,0.95612,0.000452158,0.000452158,0.000452158
3,862.894,1.78008,1.48588,0.97067,0.26093,0.22998,0.19278,0.10511,1.66432,1.37357,0.94709,0.000643049,0.000643049,0.000643049
4,1271,1.74275,1.41389,0.96215,0.2774,0.24312,0.20959,0.11662,1.63657,1.31789,0.94352,0.000607971,0.000607971,0.000607971
5,1543.07,1.71199,1.36987,0.9555,0.31949,0.25132,0.22557,0.12371,1.63401,1.26945,0.94518,0.000572628,0.000572628,0.000572628
6,1817.24,1.70474,1.34427,0.95039,0.31086,0.24985,0.22392,0.1245,1.62867,1.25954,0.93995,0.000537285,0.000537285,0.000537285
7,2387.96,1.67629,1.30734,0.94506,0.32009,0.26088,0.23667,0.13158,1.61785,1.24459,0.93603,0.000501942,0.000501942,0.000501942
8,2665.41,1.65329,1.27179,0.94196,0.34335,0.26473,0.24433,0.13732,1.58119,1.21368,0.92734,0.000466599,0.000466599,0.000466599
9,2934.1,1.65892,1.26296,0.93639,0.33331,0.27439,0.2529,0.14129,1.55617,1.19336,0.92387,0.000431256,0.000431256,0.000431256
10,3612.7,1.6525,1.24867,0.93651,0.33169,0.27354,0.25343,0.14249,1.56209,1.18649,0.92556,0.000395913,0.000395913,0.000395913
11,3889.28,1.59069,1.21837,0.93578,0.37011,0.26694,0.26056,0.14703,1.56204,1.18102,0.92629,0.00036057,0.00036057,0.00036057
12,4759.94,1.57965,1.18811,0.93136,0.35511,0.28529,0.26387,0.1507,1.54528,1.16753,0.92269,0.000325227,0.000325227,0.000325227
13,5016.57,1.55885,1.167,0.92846,0.35687,0.28137,0.26217,0.14989,1.54197,1.15984,0.91832,0.000289884,0.000289884,0.000289884
14,5276.87,1.55386,1.15289,0.92685,0.36289,0.28797,0.26923,0.15259,1.53281,1.14972,0.91901,0.000254541,0.000254541,0.000254541
15,5535.52,1.54428,1.13843,0.92404,0.37902,0.28417,0.27329,0.15361,1.54531,1.14109,0.91723,0.000219198,0.000219198,0.000219198
16,5796.56,1.52809,1.11832,0.92126,0.37821,0.29093,0.2754,0.15681,1.52854,1.13067,0.918,0.000183855,0.000183855,0.000183855
17,6053.65,1.52786,1.1101,0.9186,0.39011,0.28573,0.28091,0.16046,1.51749,1.12534,0.91329,0.000148512,0.000148512,0.000148512
18,6309.43,1.51516,1.10015,0.91574,0.38113,0.29725,0.28588,0.16269,1.50543,1.11306,0.91195,0.000113169,0.000113169,0.000113169
19,6739.1,1.50264,1.08387,0.91372,0.3849,0.29789,0.28415,0.16262,1.51022,1.11281,0.9126,7.7826e-05,7.7826e-05,7.7826e-05
20,6998.15,1.49735,1.08064,0.91472,0.38787,0.29726,0.28635,0.16378,1.50802,1.10901,0.91282,4.2483e-05,4.2483e-05,4.2483e-05
