epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.879,1.94146,2.26654,1.03231,0.28227,0.18527,0.13813,0.07338,1.72522,1.60011,0.97436,0.000237706,0.000237706,0.000237706
2,535.096,1.82679,1.58372,0.98171,0.23604,0.21718,0.17302,0.09444,1.69824,1.41732,0.96139,0.000452158,0.000452158,0.000452158
3,833.156,1.78064,1.4838,0.96986,0.24088,0.23363,0.1874,0.10213,1.6686,1.35776,0.94681,0.000643049,0.000643049,0.000643049
4,1098.38,1.74158,1.41531,0.96196,0.28389,0.24485,0.21143,0.11792,1.63475,1.33395,0.94449,0.000607971,0.000607971,0.000607971
5,2043,1.71214,1.36991,0.95595,0.32878,0.25403,0.22982,0.12653,1.62264,1.2596,0.94188,0.000572628,0.000572628,0.000572628
6,2311.87,1.70441,1.34317,0.94991,0.31892,0.25435,0.23017,0.12894,1.62505,1.25098,0.93922,0.000537285,0.000537285,0.000537285
7,2794.7,1.67688,1.30592,0.94517,0.32572,0.26517,0.23989,0.13436,1.59187,1.22879,0.9328,0.000501942,0.000501942,0.000501942
8,3067.28,1.65263,1.27047,0.94169,0.33081,0.27115,0.25041,0.14109,1.58164,1.2148,0.92736,0.000466599,0.000466599,0.000466599
9,3333.09,1.65903,1.26444,0.93621,0.34872,0.27483,0.25344,0.14365,1.55432,1.19346,0.9227,0.000431256,0.000431256,0.000431256
10,4012.14,1.65213,1.24939,0.93638,0.3386,0.27379,0.25415,0.14438,1.56334,1.18847,0.92362,0.000395913,0.000395913,0.000395913
11,4279.35,1.59162,1.21709,0.93603,0.34918,0.27474,0.26073,0.14794,1.55984,1.18205,0.92583,0.00036057,0.00036057,0.00036057
12,4968.27,1.58086,1.18633,0.9311,0.35805,0.28221,0.26457,0.15044,1.551,1.16596,0.92123,0.000325227,0.000325227,0.000325227
13,5226.22,1.56007,1.16476,0.92831,0.36386,0.28449,0.26699,0.15076,1.53909,1.15633,0.91713,0.000289884,0.000289884,0.000289884
14,5491.2,1.55357,1.15428,0.9268,0.37502,0.28707,0.27167,0.15511,1.53117,1.14302,0.91741,0.000254541,0.000254541,0.000254541
15,5754.33,1.54539,1.13947,0.92418,0.36923,0.27858,0.26958,0.15326,1.55333,1.14489,0.91915,0.000219198,0.000219198,0.000219198
16,6021.97,1.52849,1.11763,0.92112,0.38282,0.29248,0.2773,0.15874,1.52787,1.12694,0.91826,0.000183855,0.000183855,0.000183855
17,6282.29,1.52667,1.10999,0.91857,0.37096,0.29805,0.28226,0.16202,1.51813,1.11923,0.91328,0.000148512,0.000148512,0.000148512
18,6540.55,1.51483,1.10031,0.91613,0.38012,0.29787,0.28514,0.16284,1.51157,1.10863,0.91365,0.000113169,0.000113169,0.000113169
19,6863.74,1.50195,1.08406,0.91387,0.38572,0.29764,0.28689,0.16426,1.5106,1.10941,0.91292,7.7826e-05,7.7826e-05,7.7826e-05
20,7124.23,1.4974,1.08213,0.91448,0.38483,0.29945,0.28773,0.1652,1.50625,1.10521,0.91314,4.2483e-05,4.2483e-05,4.2483e-05
