epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.754,1.9405,2.26656,1.03238,0.21913,0.19256,0.13615,0.07238,1.72736,1.61822,0.98091,0.000237706,0.000237706,0.000237706
2,542.867,1.82402,1.58229,0.98178,0.22456,0.21422,0.16632,0.09139,1.70326,1.44119,0.95697,0.000452158,0.000452158,0.000452158
3,871.323,1.77857,1.48303,0.97022,0.25776,0.23075,0.19029,0.10366,1.65903,1.35988,0.94819,0.000643049,0.000643049,0.000643049
4,1140.03,1.7418,1.41417,0.9618,0.28375,0.24357,0.2115,0.11821,1.62689,1.31273,0.93931,0.000607971,0.000607971,0.000607971
5,2135.81,1.71265,1.3695,0.95558,0.32315,0.25704,0.22984,0.12613,1.62992,1.26489,0.94138,0.000572628,0.000572628,0.000572628
6,2400.5,1.70314,1.34246,0.94979,0.31958,0.25116,0.22412,0.12345,1.62879,1.26293,0.94295,0.000537285,0.000537285,0.000537285
7,2867.56,1.67613,1.3052,0.94519,0.33313,0.26417,0.24471,0.13574,1.59052,1.22512,0.9331,0.000501942,0.000501942,0.000501942
8,3138.36,1.65381,1.27252,0.94185,0.35316,0.266,0.24966,0.14056,1.57593,1.20133,0.92667,0.000466599,0.000466599,0.000466599
9,3402.72,1.66052,1.26491,0.93663,0.33465,0.27709,0.25514,0.14292,1.54952,1.18837,0.92379,0.000431256,0.000431256,0.000431256
10,4083.6,1.65226,1.24897,0.93605,0.33773,0.28101,0.25959,0.14743,1.56447,1.17899,0.9237,0.000395913,0.000395913,0.000395913
11,4357.87,1.59126,1.21616,0.9358,0.35249,0.27187,0.25964,0.14688,1.56411,1.18131,0.92656,0.00036057,0.00036057,0.00036057
12,5176.78,1.58048,1.18652,0.93105,0.3498,0.28048,0.26286,0.148,1.56206,1.16913,0.92551,0.000325227,0.000325227,0.000325227
13,5434.96,1.55915,1.16366,0.92838,0.35485,0.28441,0.2651,0.14929,1.54428,1.1535,0.9192,0.000289884,0.000289884,0.000289884
14,5697.87,1.55167,1.15337,0.92653,0.37284,0.29253,0.27616,0.15617,1.53483,1.14187,0.91831,0.000254541,0.000254541,0.000254541
15,5957.59,1.5431,1.13774,0.92363,0.37306,0.28646,0.27114,0.15305,1.54229,1.13806,0.9173,0.000219198,0.000219198,0.000219198
16,6219.91,1.5284,1.11789,0.92121,0.38541,0.28892,0.27694,0.15732,1.52782,1.12584,0.91685,0.000183855,0.000183855,0.000183855
17,6477.37,1.52717,1.10984,0.91819,0.39316,0.28413,0.28205,0.16052,1.52026,1.12026,0.91447,0.000148512,0.000148512,0.000148512
18,6735.25,1.51421,1.09875,0.91594,0.39961,0.29011,0.28689,0.1626,1.5116,1.10915,0.91319,0.000113169,0.000113169,0.000113169
19,7070.65,1.50148,1.08304,0.91368,0.38345,0.29437,0.28579,0.1627,1.50955,1.10705,0.91315,7.7826e-05,7.7826e-05,7.7826e-05
20,7331.54,1.49707,1.08049,0.91481,0.38378,0.29952,0.28883,0.16463,1.50557,1.10342,0.91278,4.2483e-05,4.2483e-05,4.2483e-05
