epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1663.17,2.9088,3.32641,2.63584,0.13099,0.15482,0.09753,0.04616,2.21343,2.12884,1.65132,0.000237706,0.000237706,0.000237706
2,4611.13,2.15984,2.01826,1.54424,0.27246,0.18721,0.13143,0.06863,1.93834,1.80406,1.40403,0.000452158,0.000452158,0.000452158
3,6224.36,2.00903,1.83342,1.4093,0.23127,0.20483,0.16316,0.08539,1.87898,1.66673,1.34467,0.000643049,0.000643049,0.000643049
4,8179.18,1.92561,1.72778,1.35068,0.34681,0.21615,0.17857,0.09476,1.81386,1.6298,1.30553,0.000607971,0.000607971,0.000607971
5,11293.4,1.87556,1.66667,1.31838,0.24432,0.23822,0.19299,0.10384,1.76384,1.53593,1.28091,0.000572628,0.000572628,0.000572628
6,14560.4,1.84995,1.62911,1.2939,0.26737,0.25052,0.20739,0.11139,1.76273,1.52402,1.26371,0.000537285,0.000537285,0.000537285
7,16834.3,1.81908,1.58163,1.27583,0.29132,0.25752,0.21913,0.12003,1.72268,1.48879,1.24246,0.000501942,0.000501942,0.000501942
8,19570,1.79418,1.54275,1.25951,0.31939,0.25146,0.23128,0.12633,1.70562,1.46154,1.2236,0.000466599,0.000466599,0.000466599
9,22678.1,1.79701,1.53705,1.2435,0.31781,0.26079,0.2354,0.13058,1.68294,1.45967,1.21055,0.000431256,0.000431256,0.000431256
10,25936.9,1.78428,1.51663,1.23447,0.29589,0.25923,0.23066,0.12785,1.68788,1.45318,1.20505,0.000395913,0.000395913,0.000395913
11,28881,1.73345,1.50748,1.22794,0.32723,0.25503,0.24312,0.13554,1.68531,1.44773,1.1974,0.00036057,0.00036057,0.00036057
12,31416.8,1.72173,1.47134,1.21481,0.34015,0.27327,0.25457,0.14181,1.6726,1.43007,1.18645,0.000325227,0.000325227,0.000325227
13,33040.2,1.70019,1.44798,1.20374,0.3496,0.27266,0.25966,0.14531,1.66419,1.41127,1.18017,0.000289884,0.000289884,0.000289884
14,35702.5,1.6958,1.42835,1.19794,0.34089,0.27809,0.25975,0.14476,1.66134,1.40904,1.17529,0.000254541,0.000254541,0.000254541
15,36536.6,1.68398,1.4094,1.18821,0.34373,0.27198,0.25702,0.14372,1.67776,1.39635,1.17192,0.000219198,0.000219198,0.000219198
16,37415.6,1.67044,1.38906,1.18372,0.35332,0.28004,0.26628,0.14922,1.64945,1.37727,1.16575,0.000183855,0.000183855,0.000183855
17,39969.1,1.66864,1.37629,1.17556,0.35907,0.28511,0.27032,0.15212,1.65785,1.3702,1.16206,0.000148512,0.000148512,0.000148512
18,41708.3,1.65799,1.36603,1.17211,0.36906,0.28342,0.27218,0.15293,1.63291,1.35432,1.15594,0.000113169,0.000113169,0.000113169
19,44320.4,1.64621,1.34989,1.16638,0.35862,0.28837,0.27462,0.15445,1.63673,1.3535,1.15772,7.7826e-05,7.7826e-05,7.7826e-05
20,46423.7,1.642,1.34691,1.16814,0.36162,0.28991,0.27583,0.15522,1.62894,1.35066,1.15157,4.2483e-05,4.2483e-05,4.2483e-05
